time_group,trip_count,mean_tip_amount,mean_tip_rate,std_tip_rate,median_tip_rate,q25_tip_rate,q75_tip_rate
afternoon,989084,4.478419355686675,0.1691729494259628,0.07996755224613229,0.19999999999999998,0.13192612137203166,0.2
evening,909911,4.333280024090269,0.17256412526484227,0.07363089376658835,0.19999999999999998,0.14566055554791474,0.2
late_night,184992,3.9760202062791907,0.15903708965635446,0.08759955074083295,0.19999999999999998,0.099984285019023,0.2
morning,574953,3.839805897177682,0.1609700462210941,0.08679875178891273,0.19999999999999998,0.1020408163265306,0.2
