variable,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
trip_distance,2658940.0,3.439380975125426,6.419939310438306,0.01,1.02,1.74,3.41,9.16,14.3,19.83,5071.01
fare_amount,2658940.0,20.272890945263903,17.748168039227007,0.01,9.3,14.2,23.3,42.2,62.5,79.7,498.0
base_amount,2658940.0,26.23068964324129,19.605051788214457,1.01,14.75,19.65,28.450000000000003,52.0,74.0,89.21000000000001,499.0
tip_amount,2658940.0,4.255707891114504,4.029917181239558,0.0,2.0,3.3,5.0,8.5,13.0,19.17,186.0
tip_rate,2658940.0,0.16785450351213338,0.08013075066164196,0.0,0.12658227848101264,0.19999999999999998,0.2,0.2498550724637681,0.25044091710758376,0.3004739336492891,1.0
trip_duration_min,2658940.0,18.895136395205107,16.707011730036644,0.016666666666666666,8.283333333333333,13.883333333333333,23.25,38.6,53.016666666666666,84.41666666666667,179.86666666666667
pickup_hour,2658940.0,14.4390377368425,5.649934003979855,0.0,11.0,15.0,19.0,21.0,22.0,23.0,23.0
