PULocationID,pickup_hour,cash_rate,trips
48,0,0.1023391812865497,2736
48,1,0.1023990637799883,1709
48,2,0.11952191235059761,1255
48,3,0.15853658536585366,902
48,4,0.1836441893830703,697
48,5,0.16090712742980562,926
48,6,0.13937547600913938,1313
48,7,0.1736930860033727,1779
48,8,0.13430042115114646,2137
48,9,0.17140600315955767,2532
48,10,0.17953386744355426,2746
48,11,0.16997792494481237,2718
48,12,0.17576853526220615,2765
48,13,0.17029119056395134,2713
48,14,0.1488095238095238,2856
48,15,0.15511079342387418,2798
48,16,0.15682029075162388,3233
48,17,0.13806654440660204,3817
48,18,0.13832986352070323,4323
48,19,0.13656387665198239,3859
48,20,0.12438327707089068,3851
48,21,0.10680308741698079,5571
48,22,0.10048731305662914,5951
48,23,0.10448496796451454,4058
68,0,0.10106085985482971,1791
68,1,0.12511584800741427,1079
68,2,0.12751677852348994,745
68,3,0.13097072419106318,649
68,4,0.15949367088607594,395
68,5,0.18122977346278318,309
68,6,0.1414141414141414,495
68,7,0.11851126346718903,1021
68,8,0.09887420460107685,2043
68,9,0.12117903930131005,2748
68,10,0.12950866231184321,3521
68,11,0.12879348630643966,4053
68,12,0.13223344003939916,4061
68,13,0.13351385128098314,4801
68,14,0.12037781350482316,4976
68,15,0.1188710341985991,4854
68,16,0.11030155838899008,4941
68,17,0.10114739629302737,5665
68,18,0.09476309226932668,6015
68,19,0.08999827258593884,5789
68,20,0.0798611111111111,4896
68,21,0.07974837662337662,4928
68,22,0.08008710379869344,4133
68,23,0.0823931623931624,2925
79,0,0.05152949745083758,5492
79,1,0.06060606060606061,5016
79,2,0.0762061403508772,3648
79,3,0.08506224066390042,2410
79,4,0.10653536257833482,1117
79,5,0.18562874251497005,334
79,6,0.17803030303030304,528
79,7,0.1111111111111111,738
79,8,0.10531496062992125,1016
79,9,0.14804660726525018,1459
79,10,0.13376623376623376,1540
79,11,0.1414141414141414,1584
79,12,0.1569767441860465,1892
79,13,0.15388683236382866,1891
79,14,0.14794007490636704,2136
79,15,0.15143120960295475,2166
79,16,0.1390032007315958,2187
79,17,0.1183009130607384,2519
79,18,0.09416317316994519,3101
79,19,0.08683551349846924,3593
79,20,0.07587216394242498,4099
79,21,0.07972665148063782,5268
79,22,0.06081201931675908,5591
79,23,0.06551164049810504,5541
107,0,0.0665068903535051,1669
107,1,0.0581039755351682,981
107,2,0.07987220447284345,626
107,3,0.10398230088495575,452
107,4,0.10060975609756098,328
107,5,0.21052631578947367,380
107,6,0.08058608058608059,819
107,7,0.11384399156711174,1423
107,8,0.09445910290237466,1895
107,9,0.11219910240718074,2451
107,10,0.14397190792040576,2563
107,11,0.13996948893974065,2622
107,12,0.132829373650108,2778
107,13,0.1429618768328446,2728
107,14,0.12812607057211373,2919
107,15,0.12232204561161023,2894
107,16,0.10997695093842608,3037
107,17,0.09833187006145742,3417
107,18,0.07992256637168142,3616
107,19,0.07153035052721574,3509
107,20,0.09093406593406593,3640
107,21,0.06989975616364129,3691
107,22,0.06592039800995025,3216
107,23,0.0745721271393643,2454
132,0,0.3461146929080421,5894
