feature,coefficient,absolute_coefficient
categorical__DOLocationID_93,3.1370364962992814,3.1370364962992814
categorical__DOLocationID_56,2.3494890329681364,2.3494890329681364
categorical__DOLocationID_196,1.8097547116683337,1.8097547116683337
numeric__improvement_surcharge,1.8024268732026747,1.8024268732026747
categorical__DOLocationID_82,1.6516343084710992,1.6516343084710992
categorical__DOLocationID_28,1.5710037489881394,1.5710037489881394
categorical__DOLocationID_123,1.2799017902891805,1.2799017902891805
categorical__DOLocationID_39,1.2766893914429955,1.2766893914429955
categorical__DOLocationID_159,1.2562796038881408,1.2562796038881408
categorical__DOLocationID_76,1.1755625002059968,1.1755625002059968
categorical__DOLocationID_69,1.1620067132847047,1.1620067132847047
categorical__DOLocationID_106,-1.1416866167905793,1.1416866167905793
categorical__DOLocationID_258,1.1318994163647742,1.1318994163647742
categorical__PULocationID_42,1.1202285829982668,1.1202285829982668
categorical__DOLocationID_157,1.1153220975516271,1.1153220975516271
categorical__DOLocationID_215,1.1092248053409979,1.1092248053409979
categorical__DOLocationID_130,1.0664316021002156,1.0664316021002156
categorical__DOLocationID_124,1.065494064856811,1.065494064856811
categorical__DOLocationID_203,1.061059603843026,1.061059603843026
categorical__DOLocationID_26,1.0322220267401014,1.0322220267401014
categorical__DOLocationID_255,-1.0283219972120072,1.0283219972120072
categorical__DOLocationID_54,-1.0212990825856831,1.0212990825856831
categorical__DOLocationID_155,1.0177098703885392,1.0177098703885392
categorical__DOLocationID_218,1.0039656987711503,1.0039656987711503
categorical__DOLocationID_52,-1.002386462310851,1.002386462310851
categorical__DOLocationID_35,0.9997770521967225,0.9997770521967225
categorical__DOLocationID_260,0.9970981779268346,0.9970981779268346
categorical__DOLocationID_247,0.9889060723185369,0.9889060723185369
categorical__DOLocationID_92,0.9823998951927099,0.9823998951927099
categorical__DOLocationID_63,0.9811333194959095,0.9811333194959095
categorical__DOLocationID_249,-0.9777107757300658,0.9777107757300658
categorical__DOLocationID_231,-0.9647863485222288,0.9647863485222288
categorical__DOLocationID_222,0.937832072945966,0.937832072945966
categorical__DOLocationID_158,-0.9304440221069021,0.9304440221069021
categorical__DOLocationID_51,0.9152711119911565,0.9152711119911565
categorical__DOLocationID_236,-0.9098977191254459,0.9098977191254459
categorical__DOLocationID_210,0.8954225342848307,0.8954225342848307
categorical__DOLocationID_239,-0.8865695270743478,0.8865695270743478
categorical__DOLocationID_217,0.8837064473046392,0.8837064473046392
categorical__DOLocationID_262,-0.8726198437139356,0.8726198437139356
categorical__DOLocationID_263,-0.8707513313103636,0.8707513313103636
categorical__PULocationID_74,0.8540541016160323,0.8540541016160323
categorical__DOLocationID_13,-0.8515645125459985,0.8515645125459985
categorical__DOLocationID_87,-0.8483098541354275,0.8483098541354275
categorical__DOLocationID_141,-0.8440714750461424,0.8440714750461424
categorical__DOLocationID_infrequent_sklearn,0.8408320955547086,0.8408320955547086
categorical__DOLocationID_216,0.8406324718389144,0.8406324718389144
categorical__DOLocationID_246,-0.8333726750210926,0.8333726750210926
categorical__DOLocationID_143,-0.8330129271530806,0.8330129271530806
categorical__DOLocationID_107,-0.8304764562797435,0.8304764562797435
categorical__DOLocationID_33,-0.8253205364857618,0.8253205364857618
categorical__DOLocationID_125,-0.819642387947718,0.819642387947718
categorical__DOLocationID_160,0.8189583359947797,0.8189583359947797
categorical__DOLocationID_177,0.8160059759431291,0.8160059759431291
categorical__DOLocationID_114,-0.8121713368394534,0.8121713368394534
categorical__DOLocationID_189,-0.8093298468895977,0.8093298468895977
categorical__DOLocationID_134,0.8067266967776421,0.8067266967776421
categorical__DOLocationID_238,-0.8016441252040077,0.8016441252040077
categorical__DOLocationID_14,0.7995260109369653,0.7995260109369653
categorical__DOLocationID_234,-0.7984130520860746,0.7984130520860746
categorical__DOLocationID_112,-0.7933931764696341,0.7933931764696341
categorical__DOLocationID_79,-0.7925269658563087,0.7925269658563087
categorical__DOLocationID_211,-0.7794639250028293,0.7794639250028293
categorical__PULocationID_41,0.7791453605725134,0.7791453605725134
categorical__DOLocationID_237,-0.7644973139813582,0.7644973139813582
categorical__DOLocationID_25,-0.7571019666342965,0.7571019666342965
categorical__DOLocationID_198,-0.7519208786140986,0.7519208786140986
categorical__PULocationID_244,0.7488900263613398,0.7488900263613398
categorical__DOLocationID_191,0.746347655548283,0.746347655548283
categorical__DOLocationID_90,-0.7430066062434387,0.7430066062434387
categorical__DOLocationID_168,0.7335503413662453,0.7335503413662453
categorical__DOLocationID_256,-0.6908638959822699,0.6908638959822699
categorical__DOLocationID_138,-0.6905288657789295,0.6905288657789295
categorical__DOLocationID_146,-0.6875775088093268,0.6875775088093268
categorical__DOLocationID_72,0.6861732396569776,0.6861732396569776
categorical__DOLocationID_142,-0.6860368327088621,0.6860368327088621
categorical__DOLocationID_97,-0.6856209991943815,0.6856209991943815
categorical__DOLocationID_166,-0.6831328098255409,0.6831328098255409
categorical__DOLocationID_113,-0.6801307102336208,0.6801307102336208
categorical__PULocationID_243,0.6800861641737611,0.6800861641737611
categorical__DOLocationID_144,-0.6770200829525793,0.6770200829525793
categorical__DOLocationID_135,0.6704217023300192,0.6704217023300192
categorical__DOLocationID_151,-0.6691278942520438,0.6691278942520438
categorical__DOLocationID_65,-0.6534571734652118,0.6534571734652118
categorical__PULocationID_7,0.6524274945419246,0.6524274945419246
categorical__DOLocationID_235,0.6445159698557256,0.6445159698557256
categorical__DOLocationID_85,0.6438048586477854,0.6438048586477854
categorical__DOLocationID_170,-0.6400930894972379,0.6400930894972379
categorical__DOLocationID_140,-0.6368869419284974,0.6368869419284974
categorical__DOLocationID_181,-0.6343945452680564,0.6343945452680564
categorical__DOLocationID_188,-0.632361765399579,0.632361765399579
categorical__DOLocationID_229,-0.626643343317858,0.626643343317858
categorical__DOLocationID_43,-0.6201787695549027,0.6201787695549027
categorical__DOLocationID_261,-0.6198666521565634,0.6198666521565634
categorical__DOLocationID_209,-0.613871353189459,0.613871353189459
categorical__DOLocationID_145,-0.6052534378518408,0.6052534378518408
categorical__DOLocationID_80,-0.5886773922901489,0.5886773922901489
categorical__DOLocationID_148,-0.569751423245638,0.569751423245638
categorical__DOLocationID_213,0.5648875560414673,0.5648875560414673
categorical__DOLocationID_36,-0.5642177477300917,0.5642177477300917
categorical__PULocationID_158,-0.5535071101809601,0.5535071101809601
categorical__DOLocationID_233,-0.5443134495585918,0.5443134495585918
categorical__DOLocationID_137,-0.5362245083640578,0.5362245083640578
categorical__DOLocationID_66,-0.5348705286622178,0.5348705286622178
categorical__DOLocationID_68,-0.531866644910396,0.531866644910396
categorical__DOLocationID_220,0.5295952641508265,0.5295952641508265
categorical__PULocationID_256,-0.51590154989558,0.51590154989558
categorical__DOLocationID_205,0.514871906133136,0.514871906133136
categorical__PULocationID_152,0.5121122790607607,0.5121122790607607
categorical__DOLocationID_24,-0.5057809061318631,0.5057809061318631
categorical__DOLocationID_165,-0.5040128530464353,0.5040128530464353
categorical__DOLocationID_70,0.502137639153811,0.502137639153811
categorical__DOLocationID_162,-0.4997567710980955,0.4997567710980955
categorical__DOLocationID_264,-0.49191894871683883,0.49191894871683883
categorical__DOLocationID_12,0.49142495827449206,0.49142495827449206
categorical__DOLocationID_1,-0.4868573324713139,0.4868573324713139
categorical__DOLocationID_219,0.4855850858064358,0.4855850858064358
categorical__PULocationID_37,0.4813977363839336,0.4813977363839336
categorical__PULocationID_25,0.48086328554116714,0.48086328554116714
categorical__PULocationID_116,0.4807125857677081,0.4807125857677081
categorical__DOLocationID_161,-0.473747039346187,0.473747039346187
categorical__PULocationID_13,-0.4710578271353968,0.4710578271353968
categorical__DOLocationID_55,0.4685331624117373,0.4685331624117373
categorical__DOLocationID_41,-0.4643257824005111,0.4643257824005111
categorical__PULocationID_231,-0.46314281952017866,0.46314281952017866
categorical__DOLocationID_95,0.46108026571539507,0.46108026571539507
categorical__PULocationID_216,-0.45591097857693075,0.45591097857693075
categorical__DOLocationID_75,-0.4527749414559739,0.4527749414559739
categorical__DOLocationID_50,-0.4514907139748252,0.4514907139748252
categorical__PULocationID_236,-0.43748552173440397,0.43748552173440397
categorical__DOLocationID_164,-0.4358383709284485,0.4358383709284485
categorical__DOLocationID_163,-0.4345619343594341,0.4345619343594341
categorical__DOLocationID_4,-0.4265525791769814,0.4265525791769814
categorical__DOLocationID_193,0.4171897630432644,0.4171897630432644
categorical__DOLocationID_265,0.4151566375496991,0.4151566375496991
categorical__DOLocationID_40,-0.40863777627744424,0.40863777627744424
categorical__PULocationID_264,-0.39044173263456466,0.39044173263456466
categorical__DOLocationID_10,0.3893755389698861,0.3893755389698861
categorical__PULocationID_249,-0.3882208191169845,0.3882208191169845
categorical__DOLocationID_224,-0.37169668626578484,0.37169668626578484
categorical__DOLocationID_77,0.3712752162814868,0.3712752162814868
categorical__PULocationID_238,-0.36627780210710054,0.36627780210710054
categorical__PULocationID_239,-0.3658268920507737,0.3658268920507737
categorical__DOLocationID_197,0.3637527575611727,0.3637527575611727
categorical__PULocationID_146,0.35807464022277175,0.35807464022277175
categorical__PULocationID_80,-0.35797524547250736,0.35797524547250736
categorical__PULocationID_65,0.3575235834075866,0.3575235834075866
categorical__DOLocationID_91,0.3498449922750398,0.3498449922750398
categorical__DOLocationID_179,-0.34955723857477716,0.34955723857477716
categorical__DOLocationID_71,0.3445861075722716,0.3445861075722716
categorical__PULocationID_234,-0.34060907574594723,0.34060907574594723
categorical__PULocationID_10,0.33719400722491144,0.33719400722491144
categorical__PULocationID_262,-0.3353435485607037,0.3353435485607037
categorical__DOLocationID_186,-0.3321048310934835,0.3321048310934835
categorical__PULocationID_246,-0.3319549378015719,0.3319549378015719
categorical__DOLocationID_49,-0.3295575873815613,0.3295575873815613
categorical__DOLocationID_88,-0.3271922105838121,0.3271922105838121
categorical__PULocationID_61,0.31480201199886354,0.31480201199886354
categorical__PULocationID_247,-0.3143266522463637,0.3143266522463637
categorical__PULocationID_62,0.31314685920668767,0.31314685920668767
categorical__DOLocationID_129,0.3128958684055883,0.3128958684055883
categorical__DOLocationID_89,0.31015816742114205,0.31015816742114205
categorical__DOLocationID_257,-0.3069306278392883,0.3069306278392883
categorical__PULocationID_114,-0.30422889526474806,0.30422889526474806
categorical__PULocationID_148,-0.30360303015418116,0.30360303015418116
categorical__PULocationID_143,-0.29808853140387986,0.29808853140387986
categorical__PULocationID_125,-0.2954660298647856,0.2954660298647856
categorical__PULocationID_43,-0.29311078428451925,0.29311078428451925
categorical__DOLocationID_226,0.291366029988033,0.291366029988033
categorical__PULocationID_168,0.29079386040027416,0.29079386040027416
categorical__PULocationID_45,0.2843093454530648,0.2843093454530648
categorical__pickup_hour_12,0.28236658117528085,0.28236658117528085
categorical__PULocationID_263,-0.2800272009275705,0.2800272009275705
categorical__pickup_hour_11,0.27962314372511166,0.27962314372511166
categorical__DOLocationID_62,-0.2794695893503235,0.2794695893503235
categorical__PULocationID_90,-0.27470778971664994,0.27470778971664994
categorical__DOLocationID_48,-0.2743484170160775,0.2743484170160775
categorical__DOLocationID_202,-0.2638260735482113,0.2638260735482113
categorical__PULocationID_237,-0.26374704136690885,0.26374704136690885
categorical__pickup_hour_2,-0.2614217992244779,0.2614217992244779
categorical__PULocationID_211,-0.2608167921674358,0.2608167921674358
categorical__DOLocationID_243,0.2601834991810675,0.2601834991810675
categorical__PULocationID_79,-0.26016014713458196,0.26016014713458196
categorical__pickup_hour_13,0.2579050028471838,0.2579050028471838
categorical__PULocationID_141,-0.25595632747314206,0.25595632747314206
categorical__pickup_hour_14,0.255152844251092,0.255152844251092
categorical__PULocationID_113,-0.25254199293608665,0.25254199293608665
categorical__DOLocationID_200,0.2509059893399204,0.2509059893399204
categorical__pickup_hour_10,0.24653968830435077,0.24653968830435077
categorical__PULocationID_infrequent_sklearn,0.2453203897521068,0.2453203897521068
categorical__PULocationID_255,-0.23463183452866668,0.23463183452866668
categorical__PULocationID_49,-0.23415090185431223,0.23415090185431223
categorical__PULocationID_145,-0.231745117158481,0.231745117158481
categorical__DOLocationID_37,-0.2251788892259144,0.2251788892259144
categorical__PULocationID_224,0.22093955998228632,0.22093955998228632
categorical__PULocationID_235,0.21852355252152794,0.21852355252152794
categorical__PULocationID_100,0.2175615745611789,0.2175615745611789
categorical__pickup_hour_0,-0.21554489784284647,0.21554489784284647
categorical__PULocationID_261,0.21437131905724682,0.21437131905724682
numeric__is_jfk_pickup,0.20805907953700586,0.20805907953700586
categorical__pickup_hour_22,-0.20776431325622105,0.20776431325622105
