distance_band,cash_rate,trips
0.1–0.5,0.18239320346957916,129007
0.5–1,0.12847781735191396,578380
1–2,0.10876896359377501,980629
2–3,0.09692351453574936,449994
3–5,0.10069646239825586,318323
5–10,0.12799587393032696,285017
10–20,0.11795165609767742,230391
20–100,0.1393284711710472,29068
